nn compound,DEV/TEST, pos, neg, neu, noun1, noun1.pos, noun1.neg, noun1.neu, noun2, noun2.pos, noun2.neg, noun2.neu
airport security,DEV,0.380952380952,0.0952380952381,0.52380952381, airport,0.15,0.0,0.85, security,0.65,0.0,0.35
allowance account,DEV,0.380952380952,0.0,0.619047619048, allowance,0.5,0.0,0.5, account,0.15,0.0,0.85
balance sheet,DEV,0.15,0.05,0.8, balance,0.65,0.0,0.35, sheet,0.05,0.0,0.95
bath water,DEV,0.333333333333,0.0,0.666666666667, bath,0.333333333333,0.0,0.666666666667, water,0.25,0.0,0.75
bauhaus architecture,DEV,0.05,0.0,0.95, bauhaus,0.05,0.0,0.95, architecture,0.2,0.0,0.8
biotechnology department,DEV,0.1,0.05,0.85, biotechnology,0.2,0.0,0.8, department,0.0,0.0,1.0
body language,DEV,0.1,0.0,0.9, body,0.15,0.0,0.85, language,0.2,0.0,0.8
brain scanner,DEV,0.142857142857,0.142857142857,0.714285714286, brain,0.2,0.0,0.8, scanner,0.05,0.0,0.95
brains activity,DEV,0.238095238095,0.0,0.761904761905, brains,0.45,0.0,0.55, activity,0.2,0.0,0.8
bus drivers,DEV,0.5,0.0,0.5, bus,0.0,0.0,1.0, drivers,0.1,0.0,0.9
california coast,DEV,0.285714285714,0.0,0.714285714286, california,0.15,0.0,0.85, coast,0.2,0.0,0.8
car manufacturers,DEV,0.05,0.0,0.95, car,0.1,0.0,0.9, manufacturers,0.1,0.0,0.9
cash basis,DEV,0.333333333333,0.047619047619,0.619047619048, cash,0.47619047619,0.0,0.52380952381, basis,0.05,0.0,0.95
cash effects,DEV,0.380952380952,0.0,0.619047619048, cash,0.47619047619,0.0,0.52380952381, effects,0.0,0.0,1.0
cash flow,DEV,0.7,0.0,0.3, cash,0.47619047619,0.0,0.52380952381, flow,0.3,0.0,0.7
cash flows,DEV,0.8,0.0,0.2, cash,0.47619047619,0.0,0.52380952381, flows,0.3,0.0,0.7
cash receipt,DEV,0.285714285714,0.0,0.714285714286, cash,0.47619047619,0.0,0.52380952381, receipt,0.15,0.0,0.85
cherry tree,DEV,0.285714285714,0.0,0.714285714286, cherry,0.25,0.0,0.75, tree,0.25,0.0,0.75
class-of-transaction level,DEV,0.05,0.0,0.95, class-of-transaction,0.2,0.0,0.8, level,0.3,0.0,0.7
climate patterns,DEV,0.05,0.0,0.95, climate,0.05,0.0,0.95, patterns,0.05,0.0,0.95
college education,DEV,0.8,0.0,0.2, college,0.45,0.0,0.55, education,0.65,0.0,0.35
comfort journey,DEV,1.0,0.0,0.0, comfort,1.0,0.0,0.0, journey,0.45,0.0,0.55
community support,DEV,1.0,0.0,0.0, community,0.55,0.0,0.45, support,1.0,0.0,0.0
computer technology,DEV,0.35,0.0,0.65, computer,0.142857142857,0.0,0.857142857143, technology,0.2,0.0,0.8
consumers confidence,DEV,0.809523809524,0.0,0.190476190476, consumers,0.2,0.0,0.8, confidence,1.0,0.0,0.0
content standards,DEV,0.35,0.0,0.65, content,0.9,0.0,0.1, standards,0.25,0.0,0.75
